,day,윤석열,이재명,안철수,심상정
0,2022.01.01,41,42,11,3
1,2022.01.02,91,83,29,11
2,2022.01.03,208,176,59,17
3,2022.01.04,182,167,52,13
4,2022.01.05,212,176,64,23
5,2022.01.06,195,156,63,13
6,2022.01.07,119,106,51,15
7,2022.01.08,34,38,16,6
8,2022.01.09,101,91,47,21
9,2022.01.10,192,178,66,34
10,2022.01.11,174,181,57,11
11,2022.01.12,152,208,61,21
12,2022.01.13,154,177,59,31
13,2022.01.14,98,113,49,25
14,2022.01.15,32,39,11,3
15,2022.01.16,94,79,26,19
16,2022.01.17,188,167,61,33
17,2022.01.18,203,206,78,39
18,2022.01.19,204,197,52,31
19,2022.01.20,156,166,43,16
20,2022.01.21,127,122,24,22
21,2022.01.22,43,43,12,4
22,2022.01.23,102,91,32,12
23,2022.01.24,172,182,58,24
24,2022.01.25,191,178,66,26
25,2022.01.26,197,196,67,32
26,2022.01.27,174,167,74,42
27,2022.01.28,112,125,44,23
28,2022.01.29,41,43,24,14
29,2022.01.30,1,1,0,0
30,2022.01.31,2,2,1,1
31,2022.02.01,2,2,1,1
32,2022.02.02,88,89,47,32
33,2022.02.03,208,241,115,84
34,2022.02.04,136,171,79,67
35,2022.02.05,26,39,16,12
36,2022.02.06,115,131,68,32
37,2022.02.07,216,235,123,61
38,2022.02.08,182,188,88,38
39,2022.02.09,181,193,81,32
40,2022.02.10,224,201,74,34
41,2022.02.11,164,154,68,42
42,2022.02.12,51,47,27,24
43,2022.02.13,112,108,78,38
44,2022.02.14,243,204,142,69
45,2022.02.15,237,201,122,76
46,2022.02.16,221,216,108,62
47,2022.02.17,211,197,77,31
48,2022.02.18,156,149,47,31
49,2022.02.19,35,43,16,7
50,2022.02.20,139,123,64,26
51,2022.02.21,271,253,132,67
52,2022.02.22,229,222,101,64
53,2022.02.23,215,225,102,51
54,2022.02.24,205,201,101,52
55,2022.02.25,177,179,94,77
56,2022.02.26,45,48,28,23
57,2022.02.27,132,107,85,41
58,2022.02.28,206,197,111,67
