,day,윤석열,이재명,안철수,심상정
0,2022.01.03,208,176,59,17
1,2022.01.04,182,167,52,13
2,2022.01.05,212,176,64,23
3,2022.01.06,195,156,63,13
4,2022.01.10,192,178,66,34
5,2022.01.11,174,181,57,11
6,2022.01.12,152,208,61,21
7,2022.01.13,154,177,59,31
8,2022.01.17,188,167,61,33
9,2022.01.18,203,206,78,39
10,2022.01.19,204,197,52,31
11,2022.01.20,156,166,43,16
12,2022.01.24,172,182,58,24
13,2022.01.25,191,178,66,26
14,2022.01.26,197,196,67,32
15,2022.01.27,174,167,74,42
16,2022.02.03,208,241,115,84
17,2022.02.07,216,235,123,61
18,2022.02.08,182,188,88,38
19,2022.02.09,181,193,81,32
20,2022.02.10,224,201,74,34
21,2022.02.14,243,204,142,69
22,2022.02.15,237,201,122,76
23,2022.02.16,221,216,108,62
24,2022.02.17,211,197,77,31
25,2022.02.21,271,253,132,67
26,2022.02.22,229,222,101,64
27,2022.02.23,215,225,102,51
28,2022.02.24,205,201,101,52
29,2022.02.28,206,197,111,67
