,day,윤석열
0,2022.05.12,481
1,2022.05.16,457
2,2022.05.17,473
3,2022.05.18,485
4,2022.05.19,398
5,2022.05.23,462
6,2022.05.24,379
7,2022.05.25,413
8,2022.05.26,351
9,2022.05.30,338
10,2022.05.31,304
11,2022.06.01,248
12,2022.06.02,474
13,2022.06.07,355
14,2022.06.08,347
15,2022.06.09,356
16,2022.06.13,331
17,2022.06.14,319
18,2022.06.15,314
19,2022.06.16,327
20,2022.06.20,274
21,2022.06.21,291
22,2022.06.22,351
23,2022.06.23,319
24,2022.06.27,301
25,2022.06.28,275
26,2022.06.29,311
27,2022.06.30,298
28,2022.07.04,311
29,2022.07.05,314
30,2022.07.06,323
31,2022.07.07,307
32,2022.07.11,324
33,2022.07.12,321
34,2022.07.13,281
35,2022.07.14,271
36,2022.07.18,304
37,2022.07.19,344
38,2022.07.20,324
39,2022.07.21,283
40,2022.07.25,291
41,2022.07.26,317
42,2022.07.27,297
43,2022.07.28,333
